Mention Type Trend

Date,Count


All
"2025-10-22 00:00:00",97,
"2025-10-23 00:00:00",176,
"2025-10-24 00:00:00",93,
"2025-10-25 00:00:00",54,
"2025-10-26 00:00:00",56,
"2025-10-27 00:00:00",46,
"2025-10-28 00:00:00",36,
"2025-10-29 00:00:00",31,
"2025-10-30 00:00:00",90,
"2025-10-31 00:00:00",56,
"2025-11-01 00:00:00",46,
"2025-11-02 00:00:00",32,
"2025-11-03 00:00:00",58,
"2025-11-04 00:00:00",87,
"2025-11-05 00:00:00",169,
"2025-11-06 00:00:00",109,
"2025-11-07 00:00:00",91,
"2025-11-08 00:00:00",68,
"2025-11-09 00:00:00",47,
"2025-11-10 00:00:00",64,
"2025-11-11 00:00:00",80,
"2025-11-12 00:00:00",183,
"2025-11-13 00:00:00",65,
"2025-11-14 00:00:00",63,
"2025-11-15 00:00:00",131,
"2025-11-16 00:00:00",93,
"2025-11-17 00:00:00",125,
"2025-11-18 00:00:00",177,
"2025-11-19 00:00:00",170,
"2025-11-20 00:00:00",338,
"2025-11-21 00:00:00",201,
"2025-11-22 00:00:00",481,
"2025-11-23 00:00:00",960,
"2025-11-24 00:00:00",147,
"2025-11-25 00:00:00",237,
"2025-11-26 00:00:00",799,
"2025-11-27 00:00:00",272,
"2025-11-28 00:00:00",510,
"2025-11-29 00:00:00",776,
"2025-11-30 00:00:00",1221,
"2025-12-01 00:00:00",2058,
"2025-12-02 00:00:00",2243,
"2025-12-03 00:00:00",1123,
"2025-12-04 00:00:00",1084,
"2025-12-05 00:00:00",1345,
"2025-12-06 00:00:00",1605,
"2025-12-07 00:00:00",1150,
"2025-12-08 00:00:00",1645,
"2025-12-09 00:00:00",1537,
"2025-12-10 00:00:00",1277,
"2025-12-11 00:00:00",977,
"2025-12-12 00:00:00",1388,
"2025-12-13 00:00:00",1507,
"2025-12-14 00:00:00",1423,
"2025-12-15 00:00:00",1924,
"2025-12-16 00:00:00",1497,
"2025-12-17 00:00:00",1244,
"2025-12-18 00:00:00",3115,
"2025-12-19 00:00:00",4934,
"2025-12-20 00:00:00",2050,
"2025-12-21 00:00:00",535,
"2025-12-22 00:00:00",336,
"2025-12-23 00:00:00",66,
