event,total,positive,neutral,negative,pos_pct,neg_pct
كأس العرب 2025,7369,2377,4877,85,32.256751255258514,1.153480797937305
فورمولا 1 قطر,559,255,277,27,45.61717352415027,4.83005366726297
UFC الدوحة,199,56,102,41,28.14070351758794,20.603015075376884
كأس العالم U-17,590,246,325,19,41.69491525423729,3.2203389830508473
بطولة البادل,72,46,24,1,63.888888888888886,1.3888888888888888
أخرى,11211,3319,7131,731,29.604852377129603,6.52038176790652
